评论,fenci,情感分类,主题概率,主题类型
小巧散热性好，女士用很轻便，比公司的轻很多。,小巧 散热 女士 轻便 公司,pos,"[(0, 0.027889138), (1, 0.027860012), (2, 0.028095385), (3, 0.028098078), (4, 0.027970424), (5, 0.860087)]",5
下午四点多下的单，隔壁省第二天中午就收件了！还不到24小时。赞一个！,下午 四点 隔壁 第二天 中午 收件 不到 小时,pos,"[(0, 0.01868931), (1, 0.018616214), (2, 0.9067921), (3, 0.01860183), (4, 0.018670522), (5, 0.018629987)]",2
性价比不错，本本的外观手感以及性能都还不错，到底是大品牌的东西。,性价比 不错 本本 外观 手感 性能 不错 品牌 东西,pos,"[(0, 0.016806785), (1, 0.016752278), (2, 0.9161417), (3, 0.016788509), (4, 0.016756803), (5, 0.016753962)]",2
以前一直购买的机器，630的停产，让我这次选了 400 2743-，不觉意外惊喜，性能不错，性价比也很不错，值得购买。,购买 机器 停产 不觉 意外 惊喜 性能 不错 性价比 不错 值得 购买,pos,"[(0, 0.013039969), (1, 0.012884203), (2, 0.935477), (3, 0.0128572015), (4, 0.012875085), (5, 0.012866544)]",2
价格还可以，我是6768拿下的（用了一张500返20的券），第二天就涨回到6999了。送的正品泰格斯包很漂亮，也很扎实。,价格 拿下 一张 第二天 回到 正品 泰格斯 很漂亮 扎实,pos,"[(0, 0.01671745), (1, 0.016780946), (2, 0.9162558), (3, 0.016716339), (4, 0.016755236), (5, 0.01677422)]",2
1、内外兼修：外部材质有创新，内部性能兼顾了的强大性能。,内外 兼修 外部 材质 创新 内部 性能 兼顾 强大 性能,pos,"[(0, 0.015185929), (1, 0.015185058), (2, 0.015260808), (3, 0.9239408), (4, 0.015196991), (5, 0.015230435)]",3
单位用户千万别买，支付太不方便。,单位 用户 千万别 支付,pos,"[(0, 0.033594806), (1, 0.033508144), (2, 0.0334966), (3, 0.033886682), (4, 0.033459906), (5, 0.8320539)]",5
"小巧,轻便,性价比突出",小巧 轻便 性价比,pos,"[(0, 0.041773938), (1, 0.041973047), (2, 0.04216), (3, 0.7902238), (4, 0.04187014), (5, 0.04199908)]",3
4499元买的。整体性能比较均衡，音响不错，外观漂亮，键盘的手感很好。试了一下播放几个1080高清片花，都很流畅。,整体 性能 均衡 音响 不错 外观 漂亮 键盘 手感 播放 几个 高清 片花 流畅,pos,"[(0, 0.011164892), (1, 0.0111697335), (2, 0.19230896), (3, 0.011209717), (4, 0.011162809), (5, 0.76298386)]",5
高品质杜比音效.采用联想全新高触感键盘，新键盘无论在布局、键帽形状、键程手感上全部进行了人性化更新，不仅满足输入速度快、输入正确率，更能满足用户输入舒适的需求。,高品质 杜比 音效 采用 联想 全新 触感 键盘 键盘 布局 键帽 形状 键程 手感 人性化 更新 输入速度 输入 正确率 满足用户 输入 舒适 需求,pos,"[(0, 0.61207765), (2, 0.10324765), (3, 0.263674)]",0
4099抢购的，还用了张2000－50的券，感觉很值。这款是集成显卡，我觉得够用了，当时还在450－和这款中犹豫不决，看到有抢购就一个冲动买下来了，现在觉得此举很明智，呵呵。对于平常上网办公电影聊天都够用了。总之一句话，适合自己就好！另外，本本全新未开封，完美屏，很开心～,抢购 还用 感觉 这款 集成显卡 够用 犹豫不决 抢购 冲动 买下来 此举 明智 平常 上网 办公 电影 聊天 够用 一句 适合 本本 全新 开封 完美 开心,pos,"[(2, 0.9677783)]",2
3999抢到的，这个配置这个价格真的很合算了！键盘手感很好！外观也漂亮，重量也合适！,抢到 配置 价格 真的 合算 键盘 手感 外观 漂亮 重量 合适,pos,"[(0, 0.013969414), (1, 0.014006283), (2, 0.47521827), (3, 0.4688335), (4, 0.013984433), (5, 0.0139881205)]",2
产品定位：主流娱乐笔记本。联想在收购了后越发牛的设计能力越来越强悍了。在4千元档次基本上就没有做得过联想的了。这个笔记本外观不错，性能也还算主流，设计也比较的人性化，唯一的不足是采用奔腾双核，不是酷睿双核。,产品 定位 主流 娱乐 笔记本 联想 收购 越发 设计 能力 越来越 强悍 千元 档次 联想 笔记本 外观 不错 性能 还算 主流 设计 人性化 唯一 采用 奔腾 双核 双核,pos,"[(0, 0.8111019), (4, 0.0604631), (5, 0.11097539)]",0
外观还是比较漂亮大方的，价格也很公道。3的内存，领先不少台式机。,外观 漂亮 大方 价格 公道 内存 领先 台式机,pos,"[(0, 0.01861707), (1, 0.47603607), (2, 0.4493558), (3, 0.01867177), (4, 0.018616648), (5, 0.018702641)]",1
性能 外观  品牌完全满足刚入学的大学生上网 学习 玩游戏等等的一切需求 价格也不比台式机贵  京东又给开发票 替人代买东西还是有发票能说清楚也更放心,性能 外观 品牌 入学 大学生 上网 学习 玩游戏 需求 价格 台式机 京东 开发票 替人 代买 东西 发票 放心,pos,"[(2, 0.95588416)]",2
功能食用，触摸键设置合理。配置和价格性价比高。键盘手感相当好，笔记本上方的摄像头也很食用。总体感觉很好，建议不进行大型游戏和影响编辑的购买。系统上网，看片相当好，可能是进行了优化。操作系统是的，不习惯可以自己换成，毕竟现在的系统盘很先进。,功能 食用 触摸 设置 配置 价格 性价比 键盘 手感 笔记本 上方 摄像头 食用 总体 感觉 建议 大型 游戏 影响 编辑 购买 系统 上网 优化 操作系统 习惯 换成 系统盘 先进,pos,"[(1, 0.6677009), (2, 0.30984)]",1
外观很漂亮，自代的也不错，这个机器评分能到3很好。平时办公足够用。,外观 很漂亮 自代 不错 机器 评分 能到 平时 办公 足够,pos,"[(0, 0.015250998), (1, 0.015285909), (2, 0.92373705), (3, 0.015268012), (4, 0.015217436), (5, 0.015240571)]",2
性能不错，综合不错！速度很快！外观还挺满意的，大小适中。发货速度也超快，我昨天下午订购的，今天中午就收到了。,性能 不错 综合 不错 速度 很快 外观 满意 大小 适中 发货 速度 超快 昨天下午 订购 中午 收到,pos,"[(0, 0.8152289), (5, 0.14741066)]",0
挺好的机器，很漂亮！电脑买联想没错！,机器 很漂亮 电脑 联想 没错,pos,"[(0, 0.028147558), (1, 0.027941002), (2, 0.8599479), (3, 0.027882623), (4, 0.02817503), (5, 0.027905857)]",2
黑色的外观，很漂亮，呵呵，总体来看运行速度还可以，屏幕的色彩挺鲜艳的,黑色 外观 很漂亮 总体 运行 速度 屏幕 色彩 鲜艳,pos,"[(0, 0.016759649), (1, 0.016833898), (2, 0.48281994), (3, 0.016805897), (4, 0.016752616), (5, 0.45002803)]",2
1.外面钢琴烤漆，键盘旁是合金加凹陷设置，所以很漂亮！ 2.性价比高！ 3.奥特蓝星音质很好！,外面 钢琴 烤漆 键盘 合金 凹陷 设置 很漂亮 性价比 奥特 蓝星 音质,pos,"[(0, 0.012847644), (1, 0.012891566), (2, 0.93557346), (3, 0.012904824), (4, 0.01288603), (5, 0.01289653)]",2
华硕的笔记本我都在京东买了两台了。没想到华硕的机子在京东性价比这么高。,华硕 笔记本 京东 两台 没想到 华硕 机子 京东 性价比,pos,"[(0, 0.016808908), (1, 0.01677285), (2, 0.2937018), (3, 0.016800769), (4, 0.016813586), (5, 0.63910204)]",5
对比了好长时间才选择的这款，配置还是不错的，做工很精致，外观全黑很漂亮，送的赠品也不错，摄像头很清晰，.奥特蓝星音质也很好，性价比高,好长时间 选择 这款 配置 不错 做工 精致 外观 全黑 很漂亮 赠品 不错 摄像头 清晰 奥特 蓝星 音质 性价比,pos,"[(2, 0.9558219)]",2
"做工精细,那出去贴膜的时候,连卖电脑的人的都说做工很好!",做工 精细 贴膜 连卖 电脑 做工,pos,"[(0, 0.24196729), (1, 0.024137506), (2, 0.024195315), (3, 0.023975872), (4, 0.6617243), (5, 0.023999702)]",4
帮别人买的，配置还好，可以玩些游戏，比这边市场便宜了很多，送的东西也都不错的,帮别人 配置 还好 游戏 市场 便宜 东西 不错,pos,"[(0, 0.018672248), (1, 0.01864307), (2, 0.018854618), (3, 0.9066396), (4, 0.018601913), (5, 0.018588612)]",3
外观可以，整体配置不错，已改系统，外观可以，整体配置不错，已改系统，外观可以，整体配置不错，已改系统，外观可以，整体配置不错，已改系统，,外观 整体 配置 不错 系统 外观 整体 配置 不错 系统 外观 整体 配置 不错 系统 外观 整体 配置 不错 系统,pos,"[(2, 0.96001387)]",2
外观不错，的驱动官网上都有，用了两个小时重装了，基本上速度没问题了,外观 不错 驱动 网上 两个 小时 重装 速度,pos,"[(0, 0.018655768), (1, 0.018706836), (2, 0.65123844), (3, 0.018581675), (4, 0.018592129), (5, 0.2742251)]",2
整机显得做工很精致，外观也很漂亮。冷光屏感觉更舒服，显卡很好，加2内存以后，最高质量情况下实况2009完美运行，流畅无比。带的液晶屏幕擦布很贴心，不愧是大厂出品。另外散热也很好，没有传说中的那么差，看来需要亲自体验才知道。带的鼠标是罗技的，手感很好。,整机 显得 做工 精致 外观 很漂亮 冷光 感觉 舒服 显卡 内存 质量 情况 实况 完美 运行 流畅 无比 液晶屏幕 擦布 贴心 不愧 大厂 出品 散热 体验 鼠标 罗技 手感,pos,"[(0, 0.52488387), (2, 0.45269382)]",0
键盘设计得很不错，比14寸的还好用,键盘 设计 不错 还好,pos,"[(0, 0.03348808), (1, 0.033439483), (2, 0.8321774), (3, 0.0336417), (4, 0.033421207), (5, 0.03383215)]",2
因为是已经了解过各方面的性能、外观才决定买这一部的，所以目前为止没发现什么出乎意料的问题。小巧便携是我选择的最大因素，其次品牌机还是令人比较放心的，一边拆包装一边就能感受到。3上网速度比我原先台式机+ 2的速度要快，昨天拭了两个多小时，没发现断线的问题。键盘挺舒适（可能本人的手也不大）。,性能 外观 一部 目前为止 发现 出乎意料 小巧 便携 选择 因素 品牌机 令人 放心 包装 感受 上网 速度 原先 台式机 速度 昨天 两个 小时 发现 断线 键盘 舒适,pos,"[(0, 0.48166925), (2, 0.49423045)]",2
"外观时尚,性能还可以，前几天一直在这里发，可以都发出去来，不没有到评价的时间，现在可以了，本人由于个人原因，需要转让这台机，带京东的出仓单和发票，我是本月24号收到货的，以2500元的价格转让，我是2799元买的，要的请加：63410093，如是广州的朋友可以见面交易！（非诚就就要打扰了，谢谢！）也请管量员不要删了，给大家一个机会，大家好才是真的好！",外观 时尚 性能 几天 发出 去来 评价 时间 原因 转让 台机 京东 仓单 发票 本月 收到 价格 转让 请加 广州 朋友 见面 交易 非诚 打扰 谢谢 管量员 机会 真的,pos,"[(0, 0.97186726)]",0
小巧，漂亮！上网，文本和照片编辑速度还算理想。屏幕和键盘的大小还好！,小巧 漂亮 上网 文本 照片 编辑 速度 理想 屏幕 键盘 大小 还好,pos,"[(0, 0.53455), (1, 0.013053325), (2, 0.41343692), (3, 0.0130219925), (4, 0.012927204), (5, 0.0130105615)]",0
大小适中，颜色亮丽。性能还算不错，目前同等大小的上网本里配置算偏高的。速度也很快。,大小 适中 颜色 亮丽 性能 不错 同等 大小 上网 配置 偏高 速度 很快,pos,"[(0, 0.42103475), (1, 0.012021191), (2, 0.012041511), (3, 0.18109341), (4, 0.36174986), (5, 0.012059246)]",0
"蓝色,优雅漂亮,大小重量刚好,比的易轻.字体我看着可以接受,屏幕显示效果不错.风扇很安静.",蓝色 优雅 漂亮 大小 重量 易轻 字体 看着 接受 屏幕显示 效果 不错 风扇 安静,pos,"[(0, 0.47195837), (1, 0.011152323), (2, 0.4829435), (3, 0.011281509), (4, 0.011418161), (5, 0.011246151)]",2
用了半个月了，到目前为止还没发现什么不良状况，总体感觉还不错。同等配置下，这个价格真的算是实惠了吧...,半个 目前为止 发现 不良 状况 总体 感觉 不错 同等 配置 价格 真的 算是 实惠,pos,"[(0, 0.011235834), (1, 0.011216241), (2, 0.94372755), (3, 0.011373686), (4, 0.011258308), (5, 0.01118837)]",2
经典的机器，帮同事买的，水的行的都用买过，很方便，很结实，性价比也很高,经典 机器 同事 行的 买过 结实 性价比,pos,"[(0, 0.021133007), (1, 0.021172078), (2, 0.021095466), (3, 0.020966858), (4, 0.8945198), (5, 0.02111276)]",4
蓝牙，，摄像头，读卡器，还有卡插口扩展。1内存，250硬盘。1024*600的标准10?屏分辨率。真是全了。,蓝牙 摄像头 读卡器 插口 扩展 内存 硬盘 标准 分辨率,pos,"[(0, 0.016706815), (1, 0.016734492), (2, 0.016748391), (3, 0.9163839), (4, 0.016685335), (5, 0.016741017)]",3
一开始对没报太大的希望，但是后来装上之后发现还是能满足一般需求的，看看片子、处理处理文档都没有问题，游戏就不知道能不能适应了。,没报 太大 希望 发现 需求 片子 文档 游戏,pos,"[(0, 0.018601714), (1, 0.90653133), (2, 0.018657433), (3, 0.018757263), (4, 0.018679151), (5, 0.018773133)]",1
运气很好。晚上10点突然降价了。呵呵。抢了一台。就功能而言。够用了。其实其它品牌上网本核心技术都差不多。就是模具不同。没有蓝牙呀。描述不符。其它还可以。小桌子很好。非常方便。,运气 晚上 降价 一台 功能 够用 品牌 上网 核心技术 模具 蓝牙 描述 不符 小桌子,pos,"[(0, 0.011166927), (1, 0.011194128), (2, 0.2739717), (3, 0.011177191), (4, 0.68125707), (5, 0.011232979)]",4
1、做工精致；,做工 精致,pos,"[(0, 0.055910803), (1, 0.7203328), (2, 0.056022085), (3, 0.055761278), (4, 0.05574955), (5, 0.056223508)]",1
外壳贴了膜，屏幕贴了膜，键盘也有保护膜，省了几十元钱，少费了些功夫。赠品也是顶级的，好用适用。键盘手感还好。回车键不错，接触面积大。,外壳 屏幕 键盘 保护膜 几十元 功夫 赠品 顶级 键盘 手感 还好 回车键 不错 接触 面积,pos,"[(0, 0.010468703), (1, 0.010463327), (2, 0.010506665), (3, 0.94767314), (4, 0.010441032), (5, 0.01044711)]",3
长的很好看 纯纯的白色很不错,好看 纯纯 白色 不错,pos,"[(0, 0.6897817), (1, 0.033746645), (2, 0.033964276), (3, 0.03377177), (4, 0.033702616), (5, 0.17503299)]",0
"性价比好的机器!再多上了1的内存,跑起来也不慢......",性价比 机器 内存 不慢,pos,"[(0, 0.034033153), (1, 0.033979263), (2, 0.034107577), (3, 0.033728935), (4, 0.033734202), (5, 0.83041686)]",5
"性价比高,外观好！还是要看看价格 毕竟3400的机器 同样配置的机器早就超出购机预算了 老祖宗说的好 一分钱一分货嘛！",性价比 外观 价格 机器 配置 机器 早就 超出 购机 预算 老祖宗 一分钱 一分货,pos,"[(0, 0.011984127), (1, 0.7688844), (2, 0.18315569), (3, 0.011957782), (4, 0.011953152), (5, 0.012064833)]",1
"昨天已收到本本,就把一个电脑高手朋友叫来...他下了一个测试软件对的温度、屏幕亮点等等一一测试后得出的结论是――性价比高，是个不错的本本。嘿嘿。。。心中窃喜~―~",昨天 收到 本本 电脑高手 朋友 叫来 测试软件 温度 屏幕 亮点 测试 结论 性价比 不错 本本 心中 窃喜,pos,"[(3, 0.95334)]",3
